Speaker,Talk(s)
Wajahat Ali,The case for having kids (TED2019)
Trevor Aaronson,How this FBI strategy is actually creating US-based terrorists (TED2015)
Chris Abani,Telling stories from Africa (TEDGlobal 2007)  On humanity (TED2008)
Hawa Abdi,Mother and daughter doctor-heroes (TEDWomen 2010)
Marc Abrahams,"A science award that makes you laugh, then think (TEDMED 2014)"
J. J. Abrams,The mystery box (TED2007)
José Antonio Abreu,The El Sistema music revolution (TED2009) TED Prize
David Abrey,All you need is justice (TEDxBrisbane 2011)
Newton Aduaka,The story of Ezra (TEDGlobal 2007)
Anant Agarwal,Why massive open online courses (still) matter (TED2013)
Shai Agassi,A new ecosystem for electric cars (TED2009)
Blaise Agüera y Arcas,How PhotoSynth can connect the world's images (TED2007)  Augmented-reality maps (TED2010)
David Agus,A new strategy in the war on cancer (TEDMED 2009)
Omar Ahmad,Political change with pen and paper (TED2010)
Al-Mayassa bint Hamad bin Khalifa Al-Thani,"Globalizing the local, localizing the global (TEDWomen 2010)"
Manal al-Sharif,A Saudi woman who dared to drive (TEDGlobal 2013)
Madeleine Albright,On being a woman and a diplomat (TEDWomen 2010)
Zeresenay Alemseged,The search for humanity's roots (TEDGlobal 2007)
Joey Alexander,An 11-year-old prodigy performs old-school jazz (TED2015)
Scott Allen,An Architectural Ecosystem of the Future (TEDX2016)
Isabel Allende,Tales of passion (TED2007)  How to live passionately—no matter your age (TED2014)
Uri Alon,Why truly innovative science demands a leap into the unknown (TEDGlobal 2013)
Marco Alverà,The surprising ingredient that makes businesses work better (TED2018)
Grimanesa Amoros,Following the Lights (TEDGlobal 2014)[9][10]
Anas Aremeyaw Anas,"How I named, shamed and jailed (TED2013)"
Lemon Andersen,Please don't take my Air Jordans (TEDYouth 2011)
Ray Anderson,The business logic of sustainability (TED2009)
Jack Andraka,A promising test for pancreatic cancer ... from a teenager (TED2013)
Simon Anholt,Which country does the most good for the world? (TEDSalon Berlin 2014)
Michael Anti,Behind the great firewall of China (TEDGlobal 2012)
Paola Antonelli,Treat design as art (TED2007)  Why I brought Pac-Man to MoMA (TEDSalon NY2013)
Kwame Anthony Appiah,Is religion good or bad? (This is a trick question) (TEDSalon NY2014)
Alejandro Aravena,My architectural philosophy? Bring the community into the process (TEDGlobal 2014)
Dan Ariely,Our buggy moral code (TED2009)  Beware conflicts of interest (TED2011)  How equal do we want the world to be? You'd be surprised (TED2015)
Karen Armstrong,My wish: The Charter for Compassion (TED2008) TED Prize  Let's revive the Golden Rule (TEDGlobal 2009)
Yann Arthus-Bertrand,A wide-angle view of fragile Earth (TED2009)
Kristen Ashburn,The face of AIDS in Africa (TED2003)
Julian Assange,Why the world needs WikiLeaks (TEDGlobal 2010)
Anthony Atala,Growing new organs (TEDMED 2009)  Printing a human kidney (TED2011)
George Ayittey,Africa's cheetahs versus hippos (TEDGlobal 2007)
Iwan Baan,Ingenious homes in unexpected places (TEDCity2.0 2013)
Julia Bacha,Pay attention to nonviolence (TEDGlobal 2011)
Uldus Bakhtiozina,Wry photos that turn stereotypes upside down (TED2014)
Kevin Bales,How to combat modern slavery (TED2010)
Robert Ballard,The astonishing hidden world of the deep ocean (TED2008)
James Balog,Time-lapse proof of extreme ice loss (TEDGlobal 2009)
Chris Bangle,Great cars are great art (TED2002)
Marian Bantjes,Intricate beauty by design (TED2010)
Massimo Banzi,How Arduino is open-sourcing imagination (TEDGlobal 2012)
Richard Baraniuk,The birth of the open-source learning revolution (TED2006)
Benjamin Barber,Why mayors should rule the world (TEDGlobal 2013)
Dan Barber,How I fell in love with a fish (TED2010)
Thomas P. M. Barnett,Let's rethink America's military strategy (TED2005)
Keith Barry,Brain magic (TED2004)
Jake Barton,The museum of you (TEDSalon NY2013)
Bonnie Bassler,"How bacteria ""talk"" (TED2009)"
Ayah Bdeir,"Building blocks that blink, beep and teach (TED2012)"
Beardyman,The polyphonic me (TED2013)
Kiran Bedi,A police chief with a difference (TEDWomen 2010)
