VoxCeleb2 ID ,VGGFace2 ID ,Gender ,Set ,Name
id00012 ,n000012 ,m ,dev ,Aaron Ashmore
id00015 ,n000015 ,m ,dev ,Aaron Motsoaledi
id00016 ,n000016 ,m ,dev ,Aaron Ramsey
id00017 ,n000017 ,m ,test ,Aaron Rodgers
id00018 ,n000018 ,m ,dev ,Aaron Schock
id00019 ,n000019 ,m ,dev ,Aaron Stanford
id00020 ,n000020 ,m ,dev ,Aaron Taylor-Johnson
id00021 ,n000021 ,m ,dev ,Aaron Tippin
id00022 ,n000022 ,f ,dev ,Aarti Chhabria
id00024 ,n000024 ,f ,dev ,Abbey Clancy
id00025 ,n000025 ,f ,dev ,Abby Elliott
id00026 ,n000026 ,m ,dev ,Abdelaziz Bouteflika
id00027 ,n000027 ,m ,dev ,Abdul Hadi Awang
id00028 ,n000028 ,m ,dev ,Abdul Qadeer Khan
id00029 ,n000029 ,m ,dev ,Abdullah II of Jordan
id00032 ,n000032 ,m ,dev ,Abhay Deol
id00033 ,n000033 ,m ,dev ,Abhinav Bindra
id00035 ,n000035 ,m ,dev ,Abu Qatada
id00036 ,n000036 ,m ,dev ,Aburizal Bakrie
id00039 ,n000039 ,f ,dev ,Acha Septriasa
id00040 ,n000040 ,m ,dev ,Aco Petrović
id00042 ,n000042 ,m ,dev ,Ada Yonath
id00043 ,n000043 ,f ,dev ,Adah Sharma
id00044 ,n000044 ,m ,dev ,Adal Ramones
id00046 ,n000046 ,m ,dev ,Adam Ashley-Cooper
id00047 ,n000047 ,m ,dev ,Adam Bandt
id00049 ,n000049 ,m ,dev ,Adam Darski
id00050 ,n000050 ,m ,dev ,Adam Duritz
id00051 ,n000051 ,m ,dev ,Adam Gilchrist
id00052 ,n000052 ,m ,dev ,Adam Housley
id00053 ,n000053 ,m ,dev ,Adam Irigoyen
id00055 ,n000055 ,m ,dev ,Adam Lallana
id00056 ,n000056 ,m ,dev ,Adam Liaw
id00058 ,n000058 ,m ,dev ,Adam Nawałka
id00059 ,n000059 ,m ,dev ,Adam Pascal
id00060 ,n000060 ,m ,dev ,Adam Richman
id00061 ,n000061 ,m ,test ,Adam Rodríguez
id00062 ,n000062 ,m ,dev ,Adam Schiff
id00063 ,n000063 ,m ,dev ,Adam Senn
id00064 ,n000064 ,m ,dev ,Adam Silver
id00066 ,n000066 ,m ,dev ,Adam Yauch
id00067 ,n000067 ,f ,dev ,Adamari López
id00068 ,n000068 ,f ,dev ,Addison Timlin
id00069 ,n000069 ,f ,dev ,Additi Gupta
id00070 ,n000070 ,m ,dev ,Adel Taarabt
id00071 ,n000071 ,f ,dev ,Adele Silva
id00073 ,n000073 ,f ,dev ,Adelinde Cornelissen
id00074 ,n000074 ,m ,dev ,Aden Young
id00075 ,n000075 ,m ,dev ,Aderbal Freire Filho
id00076 ,n000076 ,f ,dev ,Adewale Akinnuoye-Agbaje
id00078 ,n000078 ,m ,dev ,Adhyayan Suman
id00079 ,n000079 ,m ,dev ,Adil Rami
id00080 ,n000080 ,m ,dev ,Aditi Rao Hydari
id00081 ,n000081 ,m ,test ,Aditya Roy Kapur
id00082 ,n000082 ,m ,dev ,Aditya Seal
id00083 ,n000083 ,m ,dev ,Aditya Srivastava
id00084 ,n000084 ,m ,dev ,Aditya Thackeray
id00085 ,n000085 ,m ,dev ,Admir Mehmedi
id00086 ,n000086 ,m ,dev ,Adnan Sami
id00087 ,n000087 ,m ,dev ,Adrian Newey
id00088 ,n000088 ,m ,dev ,Adrian Pasdar
id00089 ,n000089 ,m ,dev ,Adrian Sutil
id00090 ,n000090 ,f ,dev ,Adriana Ugarte
id00091 ,n000091 ,f ,dev ,Adriana Vasini
id00092 ,n000092 ,f ,dev ,Adrianna Costa
id00096 ,n000096 ,m ,dev ,Adrien Broner
id00097 ,n000097 ,f ,dev ,Adrienne Bailon
id00098 ,n000098 ,f ,dev ,Adrienne Frantz
id00099 ,n000099 ,f ,dev ,Adrienne Janic
id00100 ,n000100 ,f ,dev ,Adrienne Maloof
id00103 ,n000103 ,m ,dev ,Aftab Shivdasani
id00104 ,n000104 ,f ,dev ,Agata Buzek
id00105 ,n000105 ,f ,dev ,Agata Kulesza
