,Unnamed: 0,url,video_id,playlist_id,channel_id,index,extracted
0,0,https://www.youtube.com/watch?v=96TYXMaXP18,96TYXMaXP18,PLNljeYqZrE_qeJtqowQZ5BvT7VkMiP8uf,UCE3yf1AcIlXdps2EYbq3lzw,0,0.0
1,1,https://www.youtube.com/watch?v=V0heXMKEJ_s,V0heXMKEJ_s,PLNljeYqZrE_qeJtqowQZ5BvT7VkMiP8uf,UCE3yf1AcIlXdps2EYbq3lzw,1,0.0
2,2,https://www.youtube.com/watch?v=iYxpWxxDAS8,iYxpWxxDAS8,PLNljeYqZrE_qeJtqowQZ5BvT7VkMiP8uf,UCE3yf1AcIlXdps2EYbq3lzw,2,0.0
3,3,https://www.youtube.com/watch?v=iOZ5GIGZ77U,iOZ5GIGZ77U,PLNljeYqZrE_qeJtqowQZ5BvT7VkMiP8uf,UCE3yf1AcIlXdps2EYbq3lzw,3,0.0
4,4,https://www.youtube.com/watch?v=FTE_Qrvfqtw,FTE_Qrvfqtw,PLNljeYqZrE_qeJtqowQZ5BvT7VkMiP8uf,UCE3yf1AcIlXdps2EYbq3lzw,4,0.0
5,5,https://www.youtube.com/watch?v=J_I9-vr0QnU,J_I9-vr0QnU,PLNljeYqZrE_qeJtqowQZ5BvT7VkMiP8uf,UCE3yf1AcIlXdps2EYbq3lzw,5,0.0
6,6,https://www.youtube.com/watch?v=4orPNNXQDwc,4orPNNXQDwc,PLNljeYqZrE_qeJtqowQZ5BvT7VkMiP8uf,UCE3yf1AcIlXdps2EYbq3lzw,6,0.0
7,7,https://www.youtube.com/watch?v=fPMNaN7NWXM,fPMNaN7NWXM,PLNljeYqZrE_qeJtqowQZ5BvT7VkMiP8uf,UCE3yf1AcIlXdps2EYbq3lzw,7,0.0
8,8,https://www.youtube.com/watch?v=ep5ko_o_M3A,ep5ko_o_M3A,PLNljeYqZrE_qeJtqowQZ5BvT7VkMiP8uf,UCE3yf1AcIlXdps2EYbq3lzw,8,0.0
9,9,https://www.youtube.com/watch?v=uVz0jCun-Ic,uVz0jCun-Ic,PLNljeYqZrE_qeJtqowQZ5BvT7VkMiP8uf,UCE3yf1AcIlXdps2EYbq3lzw,9,0.0
