,video_id,index,extracted
0,FHcS0mFEhn0,0,
1,mUXUqrhOKAM,1,
2,M6w0oicf-9E,2,0.0
3,Sz2wQzrz5Q8,3,
4,KCjWGVOA2Gs,4,
5,UAgqDHrfnAY,5,0.0
6,krHNKKaQJug,6,0.0
7,0j6XnDh7hW4,7,
8,G41FyEAxXa0,8,0.0
9,bMSAH_wUwmo,9,0.0
10,VZ-iy2P5bpw,10,0.0
11,REVikYXNUxE,11,
12,ms9OvHzoBZc,12,0.0
13,RdL50RYnrfA,13,0.0
14,0GPk6JvRQxE,14,0.0
15,I4JyVvRa9Kw,15,
16,cONL3DDntLY,16,0.0
17,QqiXpcGYEaY,17,0.0
18,dfaEJhrVcYQ,18,0.0
19,m7cJQSahFQ0,19,
20,_qYgJu12Jf4,20,0.0
21,j9ZWtCZ94Ww,21,0.0
22,MIsBEMIA23k,22,
23,jgpqkYZXWuU,23,0.0
24,5TFamf1gAvQ,24,
25,koCDggcbH80,25,0.0
26,ODw9mcFMUfU,26,
27,Qai-Y4JoBJY,27,
28,ZerOhTiT0iU,28,
29,31IYTP6vK18,29,
30,G6gpFxadcWM,30,
31,KS1JYSqEWpY,31,
32,uvkYk0S5edY,32,0.0
33,8UMvDUGtXxU,33,0.0
34,SgPzSgVZU7s,34,
35,59qo-RsgshI,35,0.0
36,A1fpNLP68GQ,36,0.0
37,CY5H8Cq5p3A,37,
38,V_1Xc_QVdZY,38,
39,lUJRRygdAZE,39,0.0
40,2K_L3AOB2r4,40,
41,fbnDQL6GjDY,41,0.0
42,VC0zDdcdKCY,42,
43,sevmdQ_pUPw,43,
44,6ta2pcVsme4,44,0.0
45,1JTcIg8TTqo,45,
46,qGyl7Iox6jU,46,
47,teQJTLcctGI,47,
48,zG9zNd_-gWo,48,
49,9e73Oajg4Ek,49,0.0
50,njGxDV06O-g,50,0.0
51,r9Kz9EVEXHo,51,0.0
52,76RpZmoKAdU,52,0.0
53,_KpUozbAzVE,53,0.0
54,hYJ3w4z8BEM,54,
55,1v8kf3CHalg,55,
56,pq5bSBCZKB0,56,0.0
57,0vDP72531FA,57,
58,XXuPjukH2P4,58,
59,NmEu3b-xdGQ,59,
60,qW31UC50W1c,60,
61,_oMdskA1g4c,61,
62,z1Zt-ByCH6Y,62,0.0
63,z9u3dGFOAJA,63,0.0
64,GyD75bO5NoE,64,
65,ZZNYd1R-Pdk,65,0.0
66,2pybhGGNyZ0,66,0.0
67,Y9KC3q6enPY,67,
68,TeTL_Yq8K2s,68,
69,cwm11mRMDYo,69,
70,ikoupht-0Nc,70,0.0
71,uMvRlRd9sc0,71,
72,4JANtXK1O2M,72,
