,Unnamed: 0,video_id,index,extracted
0,9999,Pd2ho752zEI,0,
1,9998,UcS6A3EyRb4,1,2.0
2,9997,M1W_AzAcQAs,2,1.0
3,9996,7jd__pKVbGs,3,0.0
4,9995,4iyjgmV7VJA,4,6.0
5,9994,OHPJnzvLMXg,5,3.0
6,9993,69BFYBR1Ggo,6,18.0
7,9992,2TEwhKMoeCc,7,
8,9991,SLSmZhmnfBI,8,11.0
9,9990,cwDjr3o80ss,9,7.0
10,9989,jsjdArcaWx0,10,
11,9988,Otujz0tW-f0,11,4.0
12,9987,apXkhOoHUWc,12,
13,9986,K1LxTbc6DTE,13,
14,9985,ocK9vv1GiSg,14,4.0
15,9984,gQ3lIhx4lc8,15,
16,9983,JIOZr_YznKk,16,
17,9982,jrM2AvobJYQ,17,4.0
18,9981,Ntf4wFWM9cc,18,0.0
19,9980,HquoipNys6Y,19,
20,9979,pMuas8wWSmk,20,
21,9978,SSrUcgLJ84Y,21,3.0
22,9977,2_ShLNt5XeA,22,2.0
23,9976,58Pzc0pamd8,23,
24,9975,2tidM4YAvto,24,0.0
25,9974,_ls7XrDgtKI,25,
26,9973,QHHN62C2yoE,26,
27,9972,hLNm4LREl5w,27,
28,9971,3nd6HFLHbFE,28,18.0
29,9970,91y62ctrCRw,29,
30,9969,QaYPvqYD-UQ,30,3.0
31,9968,U9vuX0McN78,31,1.0
32,9967,IeHCt2z5ZfE,32,
33,9966,umr0uZ2R8pA,33,
34,9965,7nAE5Pe5AEI,34,2.0
35,9964,ZfTMn2q9ybk,35,
36,9963,88ajV7laDm8,36,
37,9962,WPqA9yUQl3s,37,2.0
38,9961,Xvy2F4SiWs4,38,
39,9960,CpDnItEp0YY,39,
40,9959,WPWzA973egQ,40,9.0
41,9958,CCy2R-nhBY0,41,2.0
42,9957,EQFAEIq_jR0,42,
43,9956,jPkEWtrskEE,43,0.0
44,9955,EosTZOwt_c8,44,7.0
45,9954,Yp41xOAY0EE,45,2.0
46,9953,hLMGp7kGy1g,46,
47,9952,0dczb8Tb-9c,47,
48,9951,UWy_4ksz0ZY,48,
49,9950,MKNYkdmIThk,49,
50,9949,bIxFaTeGOn8,50,1.0
51,9948,vnyS5SVfva4,51,
52,9947,lEV21y52-Ss,52,2.0
53,9946,QbzNnsNiHw0,53,0.0
54,9945,1DdmyJgNjjA,54,
55,9944,Vfwarh63vSA,55,3.0
56,9943,Nc-SIhlkh-I,56,
57,9942,Bk0g2-2oECU,57,
58,9941,6rXa5Mm9l58,58,2.0
59,9940,q8GKYjgyNY8,59,
60,9939,dMfOjDSgsEs,60,
61,9938,OPfF6jUhDbg,61,
62,9937,F8u-RsfAlDw,62,2.0
63,9936,r8dD12wxbrM,63,
64,9935,vlh_zt4rtz8,64,11.0
65,9934,zSszDk4x4R4,65,0.0
66,9933,b72aHTewQpw,66,
67,9932,8hvPzXOVbCQ,67,
68,9931,j1mcUtKHhIE,68,
69,9930,UqsxG0Grzwc,69,0.0
70,9929,RwO8kKnLj5s,70,0.0
71,9928,nbZUwkkb4UM,71,
72,9927,Wk_zG4Usfz4,72,4.0
73,9926,ZDsVI3p7nzo,73,12.0
74,9925,Wfo1fxJhnLo,74,
75,9924,4uILGFkhQCU,75,
76,9923,SNEDpzqQWik,76,3.0
77,9922,gVXhVnBtc_0,77,
78,9921,81RQFMZEF5w,78,
79,9920,WdVTuWtj0IA,79,
80,9919,_CH-aj6smKI,80,0.0
81,9918,6wsXCwz7Sss,81,3.0
82,9917,34aBuwbYu2s,82,
83,9916,3mIMoELS-HQ,83,
84,9915,13Dk1TYBbT0,84,
85,9914,48Cldh1b5Js,85,
86,9913,c9gPRct5lME,86,
87,9912,4AuGczSUHJI,87,
88,9911,rNtEGThKRXo,88,12.0
89,9910,ARD_cFqjebk,89,0.0
90,9909,VVH_2F-jTEM,90,
91,9908,zaUElle3I8U,91,8.0
92,9907,kaNHjxRMx2o,92,3.0
93,9906,DbVPZN9dgV8,93,
94,9905,CiUiMoBn27s,94,
95,9904,ZZ0GLu-3rM0,95,
96,9903,3WMroNPSHT4,96,
97,9902,sJk5LJt38xY,97,2.0
98,9901,17WpLKh4Wgk,98,
99,9900,jWlmFK_xOJs,99,
100,9899,PU9GqOT7_qk,100,3.0
101,9898,uhXRI0T7V4c,101,2.0
102,9897,s1CigtNO7N4,102,
103,9896,TOtP3Y2amAE,103,14.0
104,9895,gNeg3_DdunM,104,
105,9894,5xcRAD8BbA0,105,
106,9893,hvt_yLUV95U,106,
107,9892,SnQ4P8_tkuc,107,
108,9891,RRD6CV4n5Zg,108,5.0
109,9890,3n-CeHrRCTs,109,
110,9889,KokERASvAFM,110,0.0
111,9888,lBNdik7-Gv0,111,0.0
112,9887,7d4wMAS6Osc,112,
113,9886,_gmq2KnzleM,113,
114,9885,mLFj8gDJpNg,114,7.0
115,9884,zCMhSPCJm4c,115,
116,9883,5BOJbXq9MYQ,116,
117,9882,5Bt6d4038uk,117,
118,9881,mIM0b_CKtUs,118,12.0
119,9880,U3E71JhfpoE,119,
120,9879,EYgzGkhYFVs,120,2.0
121,9878,99q2EOkuTLk,121,4.0
122,9877,GZqWM5ieC6w,122,26.0
123,9876,cs83pqj6j-I,123,14.0
124,9875,4blKB1_Cc54,124,
125,9874,YxpDAuL_dSU,125,8.0
126,9873,ikwbBFhwzjc,126,
127,9872,C99EadCu5ys,127,
128,9871,LKrGHGV7vng,128,1.0
129,9870,QddfqlIHecE,129,
